0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
19,18,13,15,17,12,11,9,0,7,14,4,5,6,16,3,2,10,1,8
19,18,10,15,14,12,17,9,0,7,11,2,5,4,13,3,6,16,1,8
17,9,8,15,11,12,4,18,16,1,0,19,5,2,10,3,13,14,7,6
6,12,19,18,10,9,13,15,17,3,8,0,7,11,2,1,14,4,5,16
4,18,17,9,8,5,11,3,14,7,6,16,1,0,19,15,2,10,12,13
19,5,10,9,13,12,6,7,0,15,11,2,1,14,4,3,16,17,18,8
11,7,4,5,17,9,8,12,10,18,13,14,15,6,16,1,0,19,3,2
10,9,13,5,6,3,19,18,2,1,14,4,15,16,17,12,8,0,7,11
16,15,10,1,19,12,4,7,6,5,11,2,9,8,0,3,13,14,18,17
6,15,14,18,11,1,8,3,17,5,4,13,7,2,10,9,0,19,12,16
11,18,14,3,6,5,8,9,10,7,4,13,12,16,17,15,0,19,1,2
10,5,4,7,16,12,19,9,2,15,13,14,18,17,6,3,8,0,1,11
14,3,11,15,6,9,8,7,13,12,2,10,5,16,17,1,0,19,18,4
16,3,19,15,4,9,10,7,6,12,8,0,5,13,14,1,11,2,18,17
4,15,17,9,8,3,11,7,14,5,6,16,1,0,19,12,2,10,18,13
19,7,10,9,13,15,6,3,0,18,11,2,1,14,4,5,16,17,12,8
4,9,0,15,10,18,17,12,14,1,19,8,5,11,2,7,6,16,3,13
0,15,16,12,14,9,2,18,8,5,17,6,3,4,13,1,10,11,7,19
0,12,13,15,2,18,17,9,8,3,14,4,5,10,11,7,6,16,1,19
6,12,0,15,2,18,4,9,17,3,19,8,5,10,11,7,13,14,1,16
8,3,10,7,14,5,16,1,19,12,11,2,18,4,13,15,17,6,9,0
17,7,8,5,10,1,13,3,16,18,0,19,15,11,2,9,14,4,12,6
10,1,4,3,8,5,6,7,2,9,13,14,12,0,19,15,16,17,18,11
0,1,17,3,2,5,13,7,8,9,6,16,12,10,11,15,14,4,18,19
6,1,2,3,8,5,13,7,17,9,10,11,12,0,19,15,14,4,18,16
13,7,16,1,19,5,2,3,4,18,17,6,9,8,0,15,10,11,12,14
8,7,2,3,14,1,17,5,19,18,10,11,12,4,13,9,6,16,15,0
0,15,2,1,4,12,6,7,8,5,10,11,9,13,14,3,16,17,18,19
4,3,19,18,11,15,6,1,14,12,8,0,7,2,10,5,16,17,9,13
6,7,4,1,19,12,11,15,17,18,13,14,9,8,0,3,2,10,5,16
6,12,14,7,0,9,10,5,17,3,4,13,18,19,8,1,11,2,15,16
2,18,16,3,4,9,8,5,11,7,17,6,12,13,14,1,0,19,15,10
2,3,16,15,4,9,8,7,11,12,17,6,5,13,14,1,0,19,18,10
0,5,10,18,6,12,14,1,8,15,11,2,7,16,17,3,4,13,9,19
10,12,0,15,17,1,4,7,2,3,19,8,5,6,16,9,13,14,18,11
0,1,10,15,4,18,17,3,8,9,11,2,5,13,14,7,6,16,12,19
16,15,4,7,0,12,11,1,6,5,13,14,18,19,8,3,2,10,9,17
6,7,2,15,8,12,13,1,17,18,10,11,5,0,19,3,14,4,9,16
13,15,6,7,2,3,8,9,4,5,16,17,18,10,11,12,0,19,1,14
10,7,0,3,4,15,17,9,2,18,19,8,12,13,14,5,6,16,1,11
6,7,4,15,10,12,8,1,17,18,13,14,5,11,2,3,0,19,9,16
10,3,8,18,6,15,4,1,2,12,0,19,7,16,17,5,13,14,9,11
13,7,11,12,0,5,6,9,4,18,2,10,3,19,8,15,16,17,1,14
2,18,19,3,17,9,4,5,11,7,8,0,12,6,16,1,13,14,15,10
2,3,19,15,17,9,4,7,11,12,8,0,5,6,16,1,13,14,18,10
11,1,0,5,6,18,13,12,10,9,19,8,15,16,17,7,14,4,3,2
8,15,11,3,13,18,16,1,19,5,2,10,12,14,4,7,17,6,9,0
19,15,10,1,14,12,17,7,0,5,11,2,9,4,13,3,6,16,18,8
14,18,17,3,19,1,10,15,13,7,6,16,12,8,0,9,11,2,5,4
8,1,11,7,13,12,16,15,19,9,2,10,18,14,4,3,17,6,5,0
8,3,11,15,13,9,16,7,19,12,2,10,5,14,4,1,17,6,18,0
13,3,10,15,8,7,17,9,4,12,11,2,5,0,19,18,6,16,1,14
11,15,13,1,17,7,19,12,10,5,14,4,9,6,16,18,8,0,3,2
19,1,11,15,13,18,17,3,0,9,2,10,5,14,4,7,6,16,12,8
10,7,14,15,16,9,8,3,2,18,4,13,5,17,6,1,0,19,12,11
13,7,17,9,19,15,11,3,4,18,6,16,1,8,0,5,2,10,12,14
0,3,2,15,4,9,6,7,8,12,10,11,5,13,14,1,16,17,18,19
